community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Musgrave,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Sparks,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Clare Hills,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Clare Estate,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Wiggins,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Sydenham,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Garden Park,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Palmiet,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Sherwood,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Waterval Park,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Bonela,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Briardene,2,2,1,1,2024-02-15,2026-02-06,206,0.5,0.6313432835820896,0.568710613761671,58.62848259195461,Medium
Yellowwood Park,2,2,1,1,2025-01-15,2026-01-25,218,0.5,0.6313432835820896,0.5503172912170365,58.07668291561557,Medium
Phumphele,2,2,1,1,2023-07-08,2026-01-25,218,0.5,0.6313432835820896,0.5503172912170365,58.07668291561557,Medium
Kharwastan,2,2,2,0,2024-06-06,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Kwamgaga,2,2,2,0,2023-07-08,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Mariann Industrial Park,2,2,2,0,2023-07-08,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Ezihyathini,2,2,2,0,2023-07-08,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Silverglen,2,2,2,0,2024-06-06,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Croftdene,2,2,2,0,2024-06-06,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Umhlatuzana,2,2,2,0,2024-06-06,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Bulbul,2,2,2,0,2024-06-06,2025-01-15,593,1.0,0.6313432835820896,0.19697912225789477,57.476537846841325,Medium
Warner Beach,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Isolempilo,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Launceston,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu B,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Inkwali,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu Landfill,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Area Africa,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Illovo Glen,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu Phase 3,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
eMasomini,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Msarhweni,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Winklespruit,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu Phase 1,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu C,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
Lovu A,1,1,1,0,2026-06-10,2026-06-10,82,1.0,0.2701492537313433,0.7987897300493081,57.47115458804642,Medium
